what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266505411421
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266505420843
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266505433390
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266505434765
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266505438250
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266505455328
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266505462000
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266505466312
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1266505466359
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266505467765
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266505469328
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266505470453
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266505471171
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266505475703
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266505477656
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266505478187
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266505478906
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266505479578
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266505495000
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266505495734
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1266505766453
executed,command,org.tigris.subversion.subclipse.ui,1.6.7,"org.tigris.subversion.subclipse.ui.update",1266505770718
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266505771062
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266505771578
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266505776890
